671.4754098360656, 8842.329545454544
738.3606557377052, 8821.022727272728
805.2459016393443, 8799.715909090908
876.0655737704919, 8480.11363636364
945.5737704918035, 8224.43181818182
1021.639344262295, 8373.579545454548
1097.7049180327872, 8565.340909090915
1177.704918032787, 9140.625000000004
1259.016393442623, 10227.272727272728
1344.2622950819673, 11463.06818181818
1430.8196721311479, 12720.170454545456
1517.3770491803282, 14573.86363636364
1607.8688524590161, 16448.86363636364
1699.6721311475412, 17514.20454545455
1794.098360655738, 18686.079545454544
1888.5245901639346, 21029.829545454544
1988.1967213114758, 22926.136363636364
