P,T_upper,T_lower
23.382875217785713,2058.5821457589714,1852.743948
24.17824316516242,2069.1151976810593,1861.4801390179616
25.021863586463457,2077.3723491799788,1870.468967525366
25.865484007764497,2085.2916833519585,1878.8970805882707
26.709104429065533,2093.6443428638354,1887.6916852002369
27.55272485036657,2102.8875168592353,1897.4210541638429
28.39837203132943,2111.4533189730696,1906.5854774279119
29.258070420301003,2120.198151976311,1913.8270495929328
30.117768809272572,2129.318784600222,1921.752672624509
30.977467198244142,2138.0208068760326,1930.4296639870415
31.83716558721572,2146.538164535383,1937.9385062865192
32.69686397618729,2155.1333909678715,1944.859654828316
33.55656236515886,2163.7007143580977,1953.375358048864
34.416260754130434,2171.7936235796456,1962.4396621103422
35.275959143102,2180.224094679475,1970.548852317596
36.13565753207358,2188.7153623400186,1978.3458860758406
36.995355921045146,2196.747475206932,1986.1922531268704
37.867611072461536,2205.299600355657,1993.8283036737196
38.74641387007692,2213.6166917837204,2001.4705868196638
39.62521666769231,2221.723391047751,2009.1313035122037
40.50401946530769,2230.382705409652,2016.6930239194564
41.38282226292307,2238.3119771538863,2024.4011553144633
42.261625060538464,2246.25715233005,2031.7828651730465
43.14042785815384,2254.304571868296,2039.1645755867512
44.019230655769235,2262.021974448128,2046.4707706367321
44.89803345338462,2269.7752293665617,2053.710525113453
45.776836251,2277.6457541672194,2060.8996036311205
46.65941993994247,2285.5624297262366,2068.1787739525084
47.55828236663386,2294.432867859031,2075.397720049167
48.45714479332525,2301.1402017120536,2081.897379333638
49.35600722001664,2308.950322060969,2089.481759366263
50.25486964670802,2316.942200854852,2096.556264262733
51.153732073399404,2324.658581575049,2103.4746914452753
52.0525945000908,2333.6561107964026,2110.4431909348377
52.95145692678219,2340.909005372364,2117.4859652279506
53.85031935347357,2349.4494451150204,2124.220069672404
54.74918178016496,2356.2883300224908,2130.9859042726257
55.64804420685635,2361.622796441882,2137.6917645712724
56.561343444710865,2369.0575658705566,2144.36369465863
57.48026550047826,2376.0646173980354,2151.044061886511
58.39918755624564,2383.4355553020155,2157.8353894589086
59.31810961201303,2390.9047347126534,2164.4706393351926
60.23703166778043,2398.1100865344024,2171.0006133528523
61.155953723547825,2405.599065591981,2177.4656630841127
62.07487577931522,2412.8746256801032,2183.9327289599382
62.9937978350826,2419.569260672226,2190.462703205553
63.912719890849985,2426.3284578941043,2196.9926776219513
64.83164194661738,2434.5471566588344,2203.401238992772
65.75583677582809,2441.2276632806065,2209.5335898245226
66.69577368110367,2446.994490015438,2215.899784405103
67.63571058637926,2453.8083759260066,2222.1458462132355
68.57564749165483,2460.6222624625048,2228.441976731607
69.51558439693042,2467.535202750226,2234.765805436918
70.45552130220602,2474.491044981847,2241.011867965976
71.3954582074816,2481.3195896462676,2247.0730618001603
72.33539511275718,2488.119889504242,2253.1417685248794
73.27533201803277,2494.7086949748864,2259.2458760225204
74.21526892330836,2501.0384184982613,2265.222148667878
75.15520582858395,2507.485795774107,2271.326254972575
76.11232594816721,2513.7022560916075,2277.359939531177
77.07423292338319,2519.8282023544207,2283.1801340580523
78.03613989859916,2526.4556910943206,2289.190694693261
78.99804687381513,2532.8242389715474,2295.126447872802
79.9599538490311,2539.1038947102434,2300.896385452578
80.92186082424708,2545.4441981032965,2306.6107590620536
81.88376779946304,2551.7520980057825,2312.648828281335
82.84567477467901,2558.140116090848,2318.478571449584
83.80758174989498,2564.2068961148343,2324.1771642900653
84.76948872511095,2569.7973238074446,2329.9628828660925
85.73917751582692,2575.897090743681,2335.4953275774533
86.72592022227984,2582.2152708653243,2340.873138484441
87.71266292873278,2586.7565678220917,2346.5631058501854
88.69940563518571,2593.5024631844944,2352.3833004892495
89.68614834163861,2599.580664327729,2358.0984081976962
90.67289104809157,2605.138522885789,2363.4190207855922
91.65963375454447,2611.345919994501,2368.810219518391
92.6463764609974,2617.060895982324,2374.34650231466
93.63311916745033,2622.881090398509,2379.8490435666154
94.61986187390325,2628.5836947385637,2385.1955073170607
95.6066045803562,2634.3897670791653,2390.633834225811
96.61754904731663,2640.0860071208836,2396.159857834351
97.63294836673528,2645.8098319319174,2401.37372521213
98.64834768615394,2651.157913466247,2406.4841400715527
99.66374700557256,2656.349916966884,2411.831502367337
100.67914632499124,2661.534821269988,2417.088471522898
101.69454564440986,2666.8758031630578,2422.2555385995893
102.7099449638285,2672.1673961192046,2427.6597967724315
103.72534428324715,2677.1860549352373,2432.675383735047
104.74074360266579,2682.668993722418,2437.7857984255884
105.75614292208444,2687.77940832092,2442.745468160951
106.78338692068428,2692.9212114972324,2447.8404546365377
107.83030851436521,2698.21909281812,2452.8855919366574
108.87723010804615,2703.434522077129,2457.854051355029
109.92415170172707,2708.6242446824162,2463.0701240756002
110.97107329540802,2714.194324564512,2467.7909688502837
112.01799488908895,2720.8925511535263,2472.7271560889753
113.06491648276989,2729.1515585676043,2477.55365897453
114.11183807645084,2739.6683360716956,2482.4406775776874
115.15875967013176,2753.4916027119975,2487.1852239926625
116.20568126381269,2772.423547954493,2491.994093870858
117.25260285749363,2799.497124281368,2497.2711981470034
118.3305093624194,2835.658342128665,2503.1335403181315
119.41159413391048,2878.0699044753915,2509.6399465704517
120.49267890540152,2927.404784691964,2516.878671584853
121.57376367689257,2981.5840426133145,2524.005109274037
122.65484844838362,3040.6118192005147,2535.17864226484
123.73593321987465,3103.1272171370883,2546.312680118286
124.81701799136573,3169.8338806041656,2560.811874642034
125.89810276285677,3239.699011382429,2582.6234042359993
126.97941674518394,3314.441038487969,2620.878226679852
